date,value,,
2022Nov,0.2824,Normal value (A),
2022Oct,0.1521,Normal value (A),
2022Sep,0.2179,Normal value (A),
2022Aug,0.1781,Normal value (A),
2022Jul,0.1726,Normal value (A),
2022Jun,0.2889,Normal value (A),
2022May,0.1994,Normal value (A),
2022Apr,0.1000,Normal value (A),
2022Mar,0.1646,Normal value (A),
2022Feb,0.0622,Normal value (A),
2022Jan,0.0519,Normal value (A),
2021Dec,0.0384,Normal value (A),
2021Nov,0.0318,Normal value (A),
2021Oct,0.0441,Normal value (A),
2021Sep,0.0389,Normal value (A),
2021Aug,0.0300,Normal value (A),
2021Jul,0.0551,Normal value (A),
2021Jun,0.0486,Normal value (A),
2021May,0.0503,Normal value (A),
2021Apr,0.0346,Normal value (A),
2021Mar,0.0529,Normal value (A),
2021Feb,0.0654,Normal value (A),
2021Jan,0.0595,Normal value (A),
2020Dec,0.0476,Normal value (A),
2020Nov,0.0920,Normal value (A),
2020Oct,0.0791,Normal value (A),
2020Sep,0.0800,Normal value (A),
2020Aug,0.1090,Normal value (A),
2020Jul,0.1537,Normal value (A),
2020Jun,0.1553,Normal value (A),
2020May,0.1439,Normal value (A),
2020Apr,0.2116,Normal value (A),
2020Mar,0.4646,Normal value (A),
2020Feb,0.2666,Normal value (A),
2020Jan,0.2193,Normal value (A),
2019Dec,0.0447,Normal value (A),
2019Nov,0.0483,Normal value (A),
2019Oct,0.0752,Normal value (A),
2019Sep,0.1029,Normal value (A),
2019Aug,0.1487,Normal value (A),
2019Jul,0.1335,Normal value (A),
2019Jun,0.0704,Normal value (A),
2019May,0.0803,Normal value (A),
2019Apr,0.0425,Normal value (A),
2019Mar,0.0534,Normal value (A),
2019Feb,0.0830,Normal value (A),
2019Jan,0.0741,Normal value (A),
2018Dec,0.0834,Normal value (A),
2018Nov,0.0667,Normal value (A),
2018Oct,0.1236,Normal value (A),
2018Sep,0.0868,Normal value (A),
2018Aug,0.0386,Normal value (A),
2018Jul,0.0701,Normal value (A),
2018Jun,0.1021,Normal value (A),
2018May,0.0926,Normal value (A),
2018Apr,0.0673,Normal value (A),
2018Mar,0.0753,Normal value (A),
2018Feb,0.1277,Normal value (A),
2018Jan,0.0424,Normal value (A),
2017Dec,0.0413,Normal value (A),
2017Nov,0.0414,Normal value (A),
2017Oct,0.0289,Normal value (A),
2017Sep,0.0536,Normal value (A),
2017Aug,0.1004,Normal value (A),
2017Jul,0.1216,Normal value (A),
2017Jun,0.0568,Normal value (A),
2017May,0.0470,Normal value (A),
2017Apr,0.0437,Normal value (A),
2017Mar,0.0451,Normal value (A),
2017Feb,0.0508,Normal value (A),
2017Jan,0.0335,Normal value (A),
2016Dec,0.0594,Normal value (A),
2016Nov,0.0682,Normal value (A),
2016Oct,0.0453,Normal value (A),
2016Sep,0.0571,Normal value (A),
2016Aug,0.0483,Normal value (A),
2016Jul,0.0829,Normal value (A),
2016Jun,0.0745,Normal value (A),
2016May,0.0517,Normal value (A),
2016Apr,0.0365,Normal value (A),
2016Mar,0.0277,Normal value (A),
2016Feb,0.0388,Normal value (A),
2016Jan,0.0586,Normal value (A),
2015Dec,0.0513,Normal value (A),
2015Nov,0.0420,Normal value (A),
2015Oct,0.0591,Normal value (A),
2015Sep,0.0826,Normal value (A),
2015Aug,0.0880,Normal value (A),
2015Jul,0.0478,Normal value (A),
2015Jun,0.0666,Normal value (A),
2015May,0.1134,Normal value (A),
2015Apr,0.0606,Normal value (A),
2015Mar,0.0977,Normal value (A),
